Day,Amount Spent (USD),Result Type,Results,Reporting Starts,Reporting Ends
9/12/18,11.72020287,Website Registrations Completed,1,9/12/18,9/12/18
9/11/18,0.21,,,9/11/18,9/11/18
9/11/18,26.35,Website Registrations Completed,3,9/11/18,9/11/18
9/10/18,0.15,,,9/10/18,9/10/18
9/10/18,10.44,Website Registrations Completed,1,9/10/18,9/10/18
9/7/18,0.09,,,9/7/18,9/7/18
9/7/18,1.33,,,9/7/18,9/7/18
9/6/18,2.81,,,9/6/18,9/6/18
9/6/18,0.25,,,9/6/18,9/6/18
9/5/18,0.2,,,9/5/18,9/5/18
9/5/18,2.67,Website Registrations Completed,1,9/5/18,9/5/18
9/4/18,0.11,,,9/4/18,9/4/18
9/4/18,2.96,Website Registrations Completed,1,9/4/18,9/4/18
9/3/18,0.1794,,,9/3/18,9/3/18
9/3/18,2.7508,,,9/3/18,9/3/18
9/3/18,0.0598,,,9/3/18,9/3/18
9/2/18,0.12,,,9/2/18,9/2/18
9/2/18,2.8,Website Registrations Completed,1,9/2/18,9/2/18
9/2/18,0.18,,,9/2/18,9/2/18
9/1/18,2.74,,,9/1/18,9/1/18
9/1/18,0.11,,,9/1/18,9/1/18
9/1/18,0.14,,,9/1/18,9/1/18
8/31/18,4.3,,,8/31/18,8/31/18
8/31/18,19.32,,,8/31/18,8/31/18
8/31/18,2.59,,,8/31/18,8/31/18
8/30/18,8.49,,,8/30/18,8/30/18
8/30/18,24.98,,,8/30/18,8/30/18
8/30/18,3.16,,,8/30/18,8/30/18
8/29/18,5.36,,,8/29/18,8/29/18
8/29/18,21.18,,,8/29/18,8/29/18
8/29/18,3.36,,,8/29/18,8/29/18
8/28/18,19.08,,,8/28/18,8/28/18
8/28/18,4.21,,,8/28/18,8/28/18
8/28/18,1.09,,,8/28/18,8/28/18
8/27/18,0.25,,,8/27/18,8/27/18
8/27/18,2.76,,,8/27/18,8/27/18
8/26/18,0.1,,,8/26/18,8/26/18
8/26/18,2.89,Website Registrations Completed,1,8/26/18,8/26/18
8/25/18,0.3,,,8/25/18,8/25/18
8/25/18,2.81,Website Registrations Completed,1,8/25/18,8/25/18
8/24/18,0.19,,,8/24/18,8/24/18
8/24/18,1.85,,,8/24/18,8/24/18
8/23/18,0.22,,,8/23/18,8/23/18
8/23/18,1.85,,,8/23/18,8/23/18
8/22/18,0.09,Website Registrations Completed,1,8/22/18,8/22/18
8/22/18,1.88,,,8/22/18,8/22/18
8/21/18,1.91,,,8/21/18,8/21/18
8/21/18,0.07,,,8/21/18,8/21/18
8/20/18,1.84,Website Registrations Completed,1,8/20/18,8/20/18
8/20/18,0.14,,,8/20/18,8/20/18
8/19/18,0.18,Website Registrations Completed,1,8/19/18,8/19/18
8/19/18,2.15,Website Registrations Completed,1,8/19/18,8/19/18
8/18/18,0.16,,,8/18/18,8/18/18
