Age,Amount Spent (USD),Reach
55-64,0.07,105
45-54,0.42,339
35-44,1.47,1011
25-34,1.37,1444
18-24,0.55,501
18-24,0.64,657
65+,0.02,32
55-64,0.11,139
45-54,0.48,418
35-44,1.93,1289
25-34,1.76,1748
35-44,2.3,1489
18-24,0.61,719
25-34,2.04,1885
45-54,0.98,563
55-64,0.22,183
65+,0.05,55
65+,0.07,62
55-64,0.34,232
45-54,1.23,752
35-44,2.4,1698
25-34,3.23,1996
18-24,0.47,648
65+,0.04,60
55-64,0.16,208
45-54,0.78,642
35-44,1.86,1720
25-34,1.86,1972
18-24,0.33,562
25-34,3.91,2066
18-24,0.41,620
35-44,3.41,1596
45-54,1.79,702
55-64,0.34,194
65+,0.03,48
35-44,4,2320
25-34,6.32,3202
18-24,0.57,640
45-54,1.5,838
55-64,0.23,167
65+,0.02,24
65+,0.04,36
55-64,0.13,176
45-54,1.23,1242
35-44,2.92,3578
25-34,1.34,1862
18-24,0.36,594
35-44,2.31,2962
18-24,0.46,542
25-34,1.45,1676
45-54,0.68,858
55-64,0.12,146
65+,0.03,26
35-44,2.48,3164
25-34,1.37,1502
18-24,0.39,504
45-54,0.57,974
55-64,0.16,132
65+,0.02,30
65+,0.02,38
55-64,0.24,166
45-54,0.63,1041
35-44,2.28,3149
25-34,1.46,1594
18-24,0.35,535
35-44,2.39,3276
18-24,0.36,592
25-34,1.34,1494
45-54,0.64,1116
55-64,0.21,172
65+,0.03,34
65+,0.019960239,22
55-64,0.119761431,110
45-54,0.738528827,910
35-44,2.335347913,2754
25-34,1.317375746,1374
18-24,0.489025845,480
65+,0.06,32
55-64,0.1,136
45-54,0.74,854
35-44,2.54,2760
25-34,1.13,1076
18-24,0.36,356
35-44,3.959500693,3367
18-24,0.446712899,400
25-34,1.918834951,1270
45-54,0.741137309,1002
55-64,0.213203883,142
65+,0.040610264,39
65+,0.050072254,36
55-64,0.250361272,120
45-54,0.971401734,971
35-44,3.945693642,2957
25-34,6.919985549,3312
18-24,1.722485549,933
65+,0.07,34
55-64,0.3,132
45-54,2.11,1062
35-44,3.97,2168
25-34,6.14,2824
18-24,1.75,1032
45-54,0.98,794
18-24,0.22,169
25-34,3.32,1025
55-64,0.13,36
65+,0.03,7
35-44,3.77,2042
45-54,0.85,532
35-44,1.73,1196
25-34,0.47,191
45-54,2.01,1528
35-44,5.82,3200
25-34,3.58,722
35-44,3.026183879,1649
18-24,0.509357683,214
25-34,2.197229219,843
